r2
0.1163951
0.1262352
0.08869929
0.1331611
0.1033539
0.139468
0.1469426
0.1288835
0.1785105
0.1719759
0.1162159
0.1492155
0.1200318
0.148504
0.1177487
0.1661588
0.1195352
0.09926362
0.09673899
0.1229618
0.2386725
0.0828201
