participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,1,red,red,1,0.580590128898621,1380167.9481302,2.46788329980336,3,5,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5.348492,0.0004746025,
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,2,orange,neither,0,0.5,1380170.8919925,2.94386230013333,5,4,51,1380175.8074531,1,1,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,20.04582,0.0008653083,-0.0805901288986206
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,3,red,red,1,0.584094047546387,1380177.5966295,6.70463699987158,3,1,,,,,,,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,10.12798,-9.66246e-05,0.0840940475463867
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,4,orange,neither,0,0.5,1380179.6998434,2.10321390000172,2,2,,,,,,,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-1.459602,0.0003549934,-0.0840940475463867
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,5,red,red,1,0.588098526000977,1380181.5638393,1.8639959001448,4,2,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,-3.814487,0.0002760004,0.0880985260009766
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,6,orange,neither,0,0.5,1380184.0758781,2.51203879993409,2,4,,,,,,,0,0,2,0,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,1.952902,0.0006587896,-0.0880985260009766
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,7,red,red,1,0.592735290527344,1380186.8676368,2.7917587000411,4,1,51,1380192.6713887,2,1,,1,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,2,0,0,0,3.18151,0.0004389549,0.0927352905273438
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,8,red,red,2,0.685470581054688,1380196.1718284,9.30419160006568,4,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,0,0,0,0,1,0,2,1,0,0,2,0,0,0,16.98851,0.0004708837,0.0927352905273438
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,9,red,red,3,0.772750854492188,1380197.9478397,1.77601129980758,3,3,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,0,2,1,0,0,2,0,0,0,14.5105,-0.0002593352,0.0872802734375
19,m,18,0,1,decreasing,11,14,11,18,1,orange,1,orange,1,70,70,1380165.4802469,1380239.3824102,1380239.3833863,10,orange,red,2,0.696380615234375,1380200.323807,2.37596730003133,3,4,,,,,,,0,0,2,2,0,0,1,0,2,0,0,0,2,0,0,0,1,1,2,1,0,0,2,0,0,0,-12.00729,-0.0002621954,-0.0763702392578125
