participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange,previousPCorrect
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,1,green,green,1,0.580590128898621,1460730.6057814,2.82488410011865,1,2,,,,,,,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.10855,-0.0002248894,0.0805901288986206,0.5
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,2,green,green,2,0.661180257797241,1460732.9901133,2.38433189992793,1,3,52,1460737.7450645,2,1,,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.572055,0.001058661,0.0805901288986206,0.580590128898621
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,3,green,green,3,0.738266468048096,1460739.8142298,6.8241164998617,3,2,,,,,,,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.461173,0.0001808781,0.0770862102508545,0.661180257797241
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,4,green,green,4,0.808344841003418,1460741.9255957,2.11136590014212,4,5,,,,,,,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,23.27003,0.001108453,0.0700783729553223,0.738266468048096
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,5,green,green,5,0.868412017822266,1460743.9816171,2.05602140002884,5,1,,,,,,,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6.757919,-5.979044e-05,0.0600671768188477,0.808344841003418
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,6,green,green,6,0.916465759277344,1460745.8537972,1.87218009983189,3,5,,,,,,,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,2.898899,0.0004413169,0.0480537414550781,0.868412017822266
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,7,green,green,7,0.951873779296875,1460747.8533269,1.99952970002778,5,5,,,,,,,0,0,0,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-6.847995,-0.0005452533,0.0354080200195312,0.916465759277344
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,8,blue,green,6,0.928268432617188,1460750.0055493,2.15222240006551,3,1,,,,,,,0,0,1,0,2,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,4.433838,0.001001158,-0.0236053466796875,0.951873779296875
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,9,blue,green,5,0.894943237304688,1460752.1017057,2.0961563999299,2,2,,,,,,,0,0,1,0,2,2,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0,-1.886037,-7.605835e-05,-0.0333251953125,0.928268432617188
20,m,28,0,1,fixed,9,9,16,20,2,green,2,green,1,100,100,1460727.7808973,1460812.9978658,1460812.9982857,10,green,green,6,0.940765380859375,1460754.0935452,1.99183950014412,5,3,67,1460759.1530325,2,1,,1,0,0,1,0,2,2,1,2,0,0,2,0,0,0,2,0,0,0,0,0,0,0,2,2,2,0,-2.207352,-0.0001306246,0.0458221435546875,0.894943237304688
