participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,1,red,red,1,0.580590128898621,860653.7143215,3.68544490006752,4,1,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.782409,-0.0003922315,
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,2,orange,neither,0,0.5,860657.9708077,4.25648619991262,4,5,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,-0.7269555,0.0001710714,-0.0805901288986206
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,3,red,red,1,0.584094047546387,860661.2905505,3.31974280008581,5,3,,,,,,,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0.3667317,0.000208385,0.0840940475463867
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,4,orange,neither,0,0.5,860663.882208,2.59165750001557,2,1,51,860670.8936914,2,1,,2,0,1,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,6.606258,-0.0004759143,-0.0840940475463867
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,5,orange,orange,1,0.588098526000977,860674.0822991,10.2000910999486,1,2,,,,,,,0,1,0,2,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,12.71886,0.0002857263,0.0880985260009766
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,6,orange,orange,2,0.676197052001953,860677.1381639,3.05586480000056,4,2,,,,,,,0,1,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1.225354,8.908473e-05,0.0880985260009766
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,7,orange,orange,3,0.759658813476562,860680.0899062,2.95174229994882,1,5,60,860684.1815994,1,1,,1,0,1,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,-7.396893,-9.781332e-05,0.0834617614746094
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,8,red,orange,2,0.685470581054688,860688.4420941,8.35218790010549,1,1,,,,,,,2,1,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,9.850205,0.000370692,-0.074188232421875
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,9,orange,orange,3,0.772750854492188,860691.1621099,2.72001579997595,5,1,,,,,,,2,1,0,2,1,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,1,0,0,1,0,0,3.234528,0.0004212807,0.0872802734375
13,m,36,0,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,10,orange,orange,4,0.84912109375,860694.4101213,3.24801139999181,2,4,,,,,,,2,1,0,2,1,1,0,0,1,0,0,0,0,0,2,0,1,0,0,0,1,0,0,1,0,0,7.155763,0.0009227092,0.0763702392578125
13,m,36,1,1,decreasing,9,16,9,11,1,orange,1,orange,1,140,140,860650.0288766,860701.2678559,860701.2683075,11,orange,orange,5,0.91021728515625,860697.1861137,2.77599240001291,4,4,84,860706.4163234,1,1,1,1,2,1,0,2,1,1,0,0,1,0,0,0,0,0,2,0,1,0,1,0,1,0,0,1,0,0,1.365071,0.0004188056,0.06109619140625
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,1,red,red,1,0.580590128898621,860710.9144377,3.44472949998453,3,2,,,,,,,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.8835762,-0.0005664041,
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,2,red,red,2,0.661180257797241,860714.5307616,3.6163239000598,2,3,,,,,,,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.138453,0.0004650794,0.0805901288986206
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,3,orange,red,1,0.584094047546387,860717.0585554,2.52779379999265,1,2,,,,,,,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.005279,0.0003064746,-0.0770862102508545
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,4,red,red,2,0.668188095092773,860720.1860924,3.12753699999303,2,5,,,,,,,0,0,0,0,0,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,7.196685,0.0006055965,0.0840940475463867
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,5,red,red,3,0.74827766418457,860723.3301509,3.14405849995092,5,1,67,860727.1417002,2,1,,1,0,0,0,0,2,1,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10.96228,0.0002528292,0.0800895690917969
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,6,orange,red,2,0.676197052001953,860729.4100312,6.07988030009437,1,3,,,,,,,0,0,0,0,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,4.662963,-0.0004403651,-0.0720806121826172
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,7,orange,red,1,0.592735290527344,860733.7379893,4.32795810000971,4,5,,,,,,,0,0,0,0,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,0,1,0,0,2.552921,-0.0001975728,-0.0834617614746094
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,8,orange,neither,0,0.5,860737.154278,3.41628869995475,3,5,51,860743.3815394,1,1,,2,0,0,0,0,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,0,0,9.622808,0.0001722399,-0.0927352905273438
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,9,red,red,1,0.598190307617188,860747.3060855,10.1518075000495,5,5,,,,,,,0,0,0,0,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,2,0,7.289796,7.436302e-05,0.0981903076171875
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,10,red,red,2,0.696380615234375,860751.4340714,4.12798589991871,3,1,,,,,,,0,0,2,0,2,1,0,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,2,0,6.359105,-0.0001712273,0.0981903076171875
13,m,36,0,2,decreasing,8,8,17,15,2,red,2,red,1,100,240,860707.4697082,860783.1710933,860783.1715345,11,orange,red,1,0.604736328125,860756.2740684,4.83999700006098,2,2,,,,,,,0,0,2,0,2,1,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,2,1,1,2,0,10.95491,0.0004008145,-0.091644287109375
