participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange,previousPCorrect
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,1,blue,blue,1,0.580590128898621,672007.6529937,2.75268569996115,1,2,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.87424,0.0002989489,0.0805901288986206,0.5
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,2,green,neither,0,0.5,672011.1320214,3.47902770002838,2,5,,,,,,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14.73339,-0.000261377,-0.0805901288986206,0.580590128898621
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,3,green,green,1,0.584094047546387,672013.4687188,2.33669739996549,5,1,,,,,,,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2.39883,0.0006712148,0.0840940475463867,0.5
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,4,blue,neither,0,0.5,672015.8119665,2.34324770001695,1,3,51,672023.4555132,2,1,,2,0,0,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1.67943,-9.065353e-05,-0.0840940475463867,0.584094047546387
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,5,green,green,1,0.588098526000977,672025.7559279,9.94396139995661,3,2,,,,,,,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14.56418,0.0004537092,0.0880985260009766,0.5
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,6,green,green,2,0.676197052001953,672027.8759352,2.12000730005093,4,5,,,,,,,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,7.292609,6.063629e-05,0.0880985260009766,0.588098526000977
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,7,blue,green,1,0.592735290527344,672030.2199183,2.34398310002871,3,5,,,,,,,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,0,0,12.57718,0.0001506788,-0.0834617614746094,0.676197052001953
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,8,green,green,2,0.685470581054688,672032.4279392,2.20802089991048,5,5,53,672037.6635239,2,1,,1,0,0,0,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,-9.852283,2.355414e-05,0.0927352905273438,0.592735290527344
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,9,green,green,3,0.772750854492188,672039.7480197,7.32008050009608,3,1,,,,,,,0,0,2,0,2,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,3.981966,0.0006559063,0.0872802734375,0.685470581054688
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,10,green,green,4,0.84912109375,672041.9480211,2.20000139996409,2,2,,,,,,,0,0,2,0,2,1,2,2,0,0,1,0,0,0,0,0,0,0,0,0,0,2,1,2,2,0,2.678841,-0.0002107072,0.0763702392578125,0.772750854492188
7,f,20,0,1,decreasing,8,8,17,12,2,green,2,green,1,130,130,672004.900308,672056.7037616,672056.7080237,11,green,green,5,0.91021728515625,672044.0998934,2.15187229996081,5,3,,,,,,,0,0,2,0,2,1,2,2,0,0,1,0,0,0,2,0,0,0,0,0,0,2,1,2,2,0,-6.728656,0.001053487,0.06109619140625,0.84912109375
