participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange,previousPCorrect
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,1,green,green,1,0.580590128898621,1475174.7467344,3.14825369999744,2,1,,,,,,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.20623,0.0001959974,0.0805901288986206,0.5
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,2,green,green,2,0.661180257797241,1475177.6106051,2.86387069988996,2,3,,,,,,,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1453411,-0.0003811226,0.0805901288986206,0.580590128898621
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,3,green,green,3,0.738266468048096,1475180.0986178,2.48801270010881,3,1,,,,,,,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.93202,-0.0003695812,0.0770862102508545,0.661180257797241
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,4,blue,green,2,0.668188095092773,1475182.5379141,2.43929630005732,5,5,,,,,,,0,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,-21.33615,0.0002597081,-0.0700783729553223,0.738266468048096
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,5,green,green,3,0.74827766418457,1475185.2899304,2.75201629986987,1,1,87,1475190.085453,2,1,,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8.318357,-3.51473e-05,0.0800895690917969,0.668188095092773
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,6,green,green,4,0.820358276367188,1475194.905971,9.61604059999809,5,4,90,1475200.6855233,2,1,,1,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,1,0,5.128681,0.0006378189,0.0720806121826172,0.74827766418457
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,7,blue,green,3,0.759658813476562,1475203.9859438,9.07997280010022,1,5,,,,,,,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,0,0,0,1,0,-9.372188,-0.0006028065,-0.060699462890625,0.820358276367188
22,f,25,0,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,8,green,green,4,0.833847045898438,1475206.4896904,2.50374659989029,2,5,,,,,,,2,2,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,2,0,0,1,0,1.856097,8.017756e-05,0.074188232421875,0.759658813476562
22,f,25,1,1,fixed,9,9,16,9,2,green,2,green,1,100,100,1475171.5984807,1475216.3218194,1475216.3234882,9,green,green,5,0.894943237304688,1475208.7936913,2.30400090012699,5,2,85,1475220.5335035,2,1,1,1,2,2,2,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,2,1,2,0,0,1,0,-2.009508,-0.0001366697,0.06109619140625,0.833847045898438
22,f,25,0,2,fixed,11,11,14,25,2,green,2,green,1,100,200,1475221.58974,1475333.4025415,1475333.4036578,1,blue,blue,1,0.580590128898621,1475225.7697883,4.18004829995334,5,4,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-7.145759,0.0002661349,0.0805901288986206,0.5
22,f,25,0,2,fixed,11,11,14,25,2,green,2,green,1,100,200,1475221.58974,1475333.4025415,1475333.4036578,2,blue,blue,2,0.661180257797241,1475228.1943495,2.42456119996496,5,2,,,,,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-6.714924,-0.0001505979,0.0805901288986206,0.580590128898621
22,f,25,0,2,fixed,11,11,14,25,2,green,2,green,1,100,200,1475221.58974,1475333.4025415,1475333.4036578,3,blue,blue,3,0.738266468048096,1475230.3617484,2.16739890002646,2,2,75,1475235.5254,1,1,,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5.079346,-1.001189e-05,0.0770862102508545,0.661180257797241
