participant,gender,age,answer,trialIndex,type,difficulty,numOfColour1,numOfColour2,numOfTilesRevealed,finalAns,finalColour,trueAns,trueColour,correct,reward,totalPoints,trialStart,finalAnswerTime,trialEnd,flipNumber,colourRevealed,majorityColour,majorityAmount,majPCorrect,timestamp,timeSinceLastFlip,tileClicked_1,tileClicked_2,Cjsample,CjsampleTime,cjLoc,cjDidRespond,responseMatch,CjMatch,currentGrid_1,currentGrid_2,currentGrid_3,currentGrid_4,currentGrid_5,currentGrid_6,currentGrid_7,currentGrid_8,currentGrid_9,currentGrid_10,currentGrid_11,currentGrid_12,currentGrid_13,currentGrid_14,currentGrid_15,currentGrid_16,currentGrid_17,currentGrid_18,currentGrid_19,currentGrid_20,currentGrid_21,currentGrid_22,currentGrid_23,currentGrid_24,currentGrid_25,noisy,Pz_amplitude,STV_regress_eeg_final,PCorrectChange
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,1,green,green,1,0.580590128898621,1184649.1003742,1.86398559994996,4,3,77,1184658.1837799,2,1,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-0.9170668,-0.0005384748,
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,2,blue,neither,0,0.5,1184659.8042523,10.7038781000301,3,2,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,-1.372088,-0.0009951652,-0.0805901288986206
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,3,blue,blue,1,0.584094047546387,1184663.1010415,3.29678920004517,4,4,,,,,,,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0.4890352,0.0003827495,0.0840940475463867
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,4,blue,blue,2,0.668188095092773,1184665.252311,2.151269499911,5,1,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,-4.504042,0.0005649736,0.0840940475463867
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,5,blue,blue,3,0.74827766418457,1184667.5722557,2.31994469999336,3,4,,,,,,,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,2.009064,-6.840669e-05,0.0800895690917969
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,6,blue,blue,4,0.820358276367188,1184669.7880701,2.21581439999864,5,2,,,,,,,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,3.263322,0.001063193,0.0720806121826172
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,7,green,blue,3,0.759658813476562,1184672.0122223,2.22415220015682,1,4,,,,,,,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,2,0,1,1,0,0,0,0,0,0,0,-8.127707,0.0003936318,-0.060699462890625
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,8,blue,blue,4,0.833847045898438,1184674.3963413,2.38411900005303,5,4,,,,,,,0,0,0,0,1,0,0,1,0,1,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,4.663896,0.0005264797,0.074188232421875
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,9,green,blue,3,0.772750854492188,1184676.9802898,2.58394849998876,3,1,64,1184682.7838229,1,1,,1,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,2,0,1,1,1,0,0,0,0,0,0,8.298828,0.0002863687,-0.06109619140625
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,10,green,blue,2,0.696380615234375,1184685.1878971,8.20760730002075,4,5,,,,,,,0,0,2,0,1,0,0,1,0,1,0,0,0,2,0,2,0,1,1,1,0,0,0,2,0,0,0.5739421,-0.0002454586,-0.0763702392578125
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,11,blue,blue,3,0.78802490234375,1184688.5962677,3.40837059984915,3,3,,,,,,,0,0,2,0,1,0,0,1,0,1,0,0,1,2,0,2,0,1,1,1,0,0,0,2,0,0,0.1669585,0.0001533653,0.091644287109375
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,12,blue,blue,4,0.8665771484375,1184691.3400118,2.74374409997836,1,3,,,,,,,0,0,2,0,1,0,0,1,0,1,1,0,1,2,0,2,0,1,1,1,0,0,0,2,0,0,0.3375309,-3.884779e-05,0.07855224609375
18,m,25,0,1,fixed,11,14,11,24,1,blue,1,blue,1,100,100,1184647.2363886,1184757.9429045,1184757.9434131,13,green,blue,3,0.80615234375,1184694.4842901,3.14427829999477,2,3,,,,,,,0,0,2,0,1,0,0,1,0,1,1,2,1,2,0,2,0,1,1,1,0,0,0,2,0,0,1.579516,-0.0002699884,-0.0604248046875
